# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574790422003,2.8473282,0.6793893,0.091603056,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422012,3.0687022,0.4427481,-0.35114503,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422180,2.9389312,0.8396947,-0.259542,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422183,3.1450381,1.6870229,-0.10687023,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422387,3.465649,2.0839694,-0.122137405,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422390,4.0992365,2.7709923,-0.58778626,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422601,4.5725193,2.9923663,-0.8854962,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422605,4.5114503,3.740458,-0.54198474,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423226,4.259542,3.6030533,-0.28244275,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423228,4.0992365,2.7175572,-0.40458015,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423230,4.10687,2.335878,-0.65648854,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423232,3.870229,2.480916,-1.129771,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423444,5.328244,3.8549619,-1.1145039,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423447,4.8015265,3.8396947,-1.3206106,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423647,9.236641,9.312977,1.6870229,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423651,8.442748,9.763359,0.648855,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423867,4.3816795,5.374046,-0.7633588,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423871,5.4885497,5.19084,-0.8167939,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424067,4.6183205,1.221374,-1.2061069,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424068,5.3129773,2.4503818,-2.2366412,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424277,6.5725193,3.351145,-3.3664122,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424279,5.961832,2.740458,-2.6412213,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424280,-5.183206,0.54198474,3.335878,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424281,-4.3129773,1.091603,1.519084,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424283,-2.5419848,0.8854962,4.847328,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424284,2.0076337,-2.7709923,2.3206108,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424285,4.854962,3.572519,1.2442749,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424287,5.7175574,2.572519,0.18320611,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424290,3.3053436,2.0458016,-3.3587787,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424291,2.183206,1.6717557,-3.1145039,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424487,0.3816794,-0.18320611,-0.67175573,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424489,0.49618322,0.8167939,-0.8549618,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424711,3.480916,0.3816794,-1.0458015,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424715,4.5267177,0.33587787,-1.5114504,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424717,3.2519083,0.96183205,-2.351145,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424719,2.389313,1.129771,-3.5267177,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424721,3.2290077,0.1908397,-3.6946564,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424723,3.3664122,0.114503816,-3.740458,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424725,3.3969467,0.9160305,-3.832061,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424726,3.816794,1.2137405,-3.389313,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424727,3.7480917,0.6183206,-2.870229,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424729,2.8778627,-0.23664123,-2.6183207,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424914,-0.1908397,0.41984734,-2.1603053,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424917,-0.78625953,0.2977099,-3.1603053,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425117,0.16793893,-0.83206105,-3.1374047,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425122,0.13740458,-0.9847328,-2.7099237,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425123,-0.122137405,-0.35877863,-2.5267177,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425124,0.55725193,0.22137405,-2.389313,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425125,1.3358779,0.6946565,-1.9923664,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425126,0.71755725,1.3587786,-1.961832,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425126,0.610687,2.167939,-2.5496182,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425127,1.8778626,2.572519,-2.7099237,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425128,4.70229,3.3816793,-1.8167939,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425128,5.9007635,3.4961832,-1.0305344,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425327,-1.4656489,0.045801528,1.5038168,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425331,-2.7251909,2.206107,1.778626,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425537,-3.3282442,2.2442749,3.167939,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425540,-4.0076337,1.8015267,3.7480917,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425541,-4.1755724,1.5725191,3.0992367,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425543,-3.5648854,1.8778626,2.2137403,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425544,-2.465649,2.2671757,0.71755725,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425545,-0.14503817,3.221374,-0.015267176,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425749,3.59542,2.9160306,-0.5038168,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425753,4.557252,3.5648854,-1.7938931,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425966,5.0610685,4.068702,-2.7709923,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425969,5.3129773,3.778626,-2.740458,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425972,6.1755724,4.3587785,-1.70229,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425974,6.1297708,4.4351144,-1.4580153,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425976,5.3893127,4.0305343,-0.8167939,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790425978,4.7251906,3.7633588,-0.6793893,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426188,4.4580154,3.5877862,-0.8396947,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426192,4.3053436,3.6793892,-0.86259544,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426194,3.923664,3.465649,-1.2137405,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426196,4.1679387,3.4885497,-1.3816794,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426197,4.3053436,3.2671757,-0.6870229,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426199,4.3206105,3.3206108,-0.90076333,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426201,4.6488547,3.1526718,-1.1068702,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426202,4.519084,3.1221373,-1.0687023,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426204,4.3511453,3.1450381,-0.71755725,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426205,3.9770992,3.0458016,-0.55725193,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426389,4.1221375,3.167939,0.46564886,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426392,4.2290077,3.1374047,0.122137405,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426393,4.29771,3.183206,-0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426395,4.5343513,3.1908398,-0.20610687,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426396,4.5267177,3.2366412,-0.23664123,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426397,4.4351144,3.519084,-0.21374045,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426398,4.5114503,3.6335878,-0.13740458,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426399,4.4732823,3.740458,0.14503817,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426399,3.946565,3.8015268,0.08396947,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426400,4.0152674,3.3206108,-0.259542,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426401,3.9694657,3.2290077,-0.55725193,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426595,3.9160306,3.312977,-0.53435117,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426598,3.8625953,3.3969467,-0.45038167,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426600,3.8625953,3.3740458,-0.32061067,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426602,4.10687,3.335878,-0.3129771,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426604,4.6106873,3.259542,-0.41984734,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426607,4.7099237,3.1908398,-0.5114504,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426609,4.3587785,3.1908398,-0.5038168,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426610,4.2366414,3.206107,-0.29007635,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426612,4.2061067,3.465649,0.0,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426613,4.3053436,3.6259542,0.08396947,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426802,4.412214,3.664122,-0.122137405,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790426807,4.4351144,3.427481,-0.32061067,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427010,4.4198475,3.2748091,-0.32061067,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427013,4.5267177,3.3740458,-0.030534351,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427016,4.9465647,3.259542,0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427019,5.1679387,2.6335878,0.10687023,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427022,4.6183205,1.6030535,0.55725193,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427023,5.9770994,-0.70229006,0.49618322,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427023,6.6488547,-0.99236643,-0.4427481,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427024,7.0,0.114503816,-2.183206,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427025,7.0458016,1.0,-3.038168,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427026,7.3969464,1.3664122,-3.2519083,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427233,3.6030533,3.9312978,-0.13740458,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427237,3.2442749,4.1984735,-0.053435113,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427432,2.870229,4.4351144,-0.07633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427436,3.1603053,3.9923663,-0.26717559,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427439,3.4122138,3.7175572,-0.35877863,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427441,3.7175572,3.557252,-0.24427481,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427442,3.7862597,3.5648854,-0.10687023,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427442,3.740458,3.6030533,0.10687023,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427443,3.7633588,3.5267177,0.14503817,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427444,3.9770992,3.221374,0.22137405,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427445,4.2061067,2.870229,0.40458015,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427445,4.114504,2.7633588,0.55725193,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427446,3.6335878,3.29771,-0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427642,3.8778627,3.312977,-0.030534351,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427643,4.0,3.206107,-0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427644,3.9312978,3.1374047,0.03816794,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427645,3.8625953,3.0458016,-0.06870229,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427646,3.687023,2.9847329,-0.2519084,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427647,3.6564887,2.9847329,-0.35877863,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427648,3.5419848,3.076336,-0.20610687,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427649,3.4732823,3.0839694,-0.099236645,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427650,3.4122138,3.129771,-0.091603056,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427651,3.3969467,3.2366412,-0.015267176,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427848,3.6259542,3.2824428,0.129771,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427851,3.7480917,3.259542,0.21374045,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427854,3.740458,3.1908398,0.14503817,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427857,3.9923663,2.8854961,0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427859,3.7099237,3.0,-0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790427860,3.5496182,3.1526718,-0.06870229,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428067,3.4351146,3.076336,-0.21374045,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428072,3.8015268,2.793893,-0.66412216,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428075,4.0992365,2.687023,-0.79389316,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428078,3.9389312,3.0610688,-0.5648855,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428079,3.8625953,3.1068702,-0.36641222,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428079,4.0229006,3.091603,-0.22900763,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428080,4.0992365,3.167939,-0.16793893,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428081,4.145038,3.2519083,-0.030534351,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428082,4.145038,3.2519083,0.022900764,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428083,4.038168,3.312977,0.19847329,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428084,3.9007633,3.2748091,0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428270,4.0610685,3.1984732,0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428275,3.9160306,3.1603053,-0.16793893,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428276,3.778626,3.167939,-0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428276,3.70229,3.2137403,0.053435113,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428277,3.7709923,3.2519083,0.061068702,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428277,3.946565,3.1374047,0.03816794,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428278,3.9694657,3.1221373,0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428279,3.9541984,3.1450381,-0.022900764,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428280,3.9007633,3.1374047,-0.045801528,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428281,3.7480917,3.091603,-0.08396947,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428483,3.557252,3.091603,-0.15267175,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428487,3.4122138,3.1755726,-0.13740458,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428491,3.3664122,3.2671757,0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428492,3.312977,3.2671757,0.053435113,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428492,3.4885497,3.335878,0.0,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428493,3.5801528,3.3816793,0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428494,3.7862597,3.4885497,0.061068702,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428495,3.9312978,3.4351146,-0.022900764,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428496,3.923664,3.3206108,-0.1908397,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428496,3.7099237,3.2671757,-0.20610687,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428695,3.5419848,3.206107,-0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428698,3.6412213,3.038168,-0.16793893,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428700,3.793893,2.8931298,-0.22900763,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428702,3.816794,2.8854961,-0.3053435,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428704,3.9007633,2.8549619,-0.45038167,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428707,3.8854961,2.740458,-0.4427481,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428709,3.7480917,2.7862597,-0.35114503,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428710,3.5038168,2.816794,-0.3740458,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428712,3.4580152,2.9389312,-0.27480915,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428714,3.7557251,3.0839694,-0.19847329,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428898,3.9923663,3.312977,0.045801528,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428903,4.0305343,3.2900763,0.15267175,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428905,3.9312978,3.1374047,0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428906,4.076336,2.9770992,-0.06870229,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428907,3.7328243,3.1984732,-0.129771,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428908,3.465649,3.2748091,-0.091603056,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428909,3.038168,3.3587787,-0.13740458,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428910,3.3969467,3.2366412,-0.22900763,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428911,4.4351144,2.9160306,-0.22137405,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428911,4.557252,2.9694657,-0.030534351,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790428912,3.7709923,3.4961832,0.15267175,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429113,3.4885497,3.5496182,0.3816794,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429117,3.5419848,3.4580152,0.57251906,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429120,3.687023,3.4961832,0.66412216,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429123,3.8396947,3.70229,0.6793893,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429124,3.7099237,3.8244274,0.6870229,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429125,3.648855,3.8549619,0.58778626,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429126,3.7480917,3.687023,0.40458015,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429126,4.1603055,3.5648854,-0.007633588,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429127,4.3206105,3.4885497,-0.1908397,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429128,3.8244274,3.7633588,-0.1908397,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429329,3.7480917,3.648855,-0.22900763,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429333,4.114504,3.3664122,-0.259542,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429336,4.183206,3.3587787,-0.19847329,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429339,4.0610685,3.5038168,-0.114503816,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429341,4.0,3.480916,-0.022900764,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429343,4.2137403,3.3664122,0.3053435,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429344,4.2442746,3.1450381,0.4351145,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429345,3.961832,3.0992367,0.38931298,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429346,3.8015268,3.129771,0.21374045,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429347,3.7557251,3.2366412,0.23664123,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429348,3.832061,3.3053436,0.35877863,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429530,3.9694657,3.1374047,0.36641222,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429533,3.9160306,3.0839694,0.17557251,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429536,4.0076337,3.038168,0.045801528,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429539,4.114504,3.053435,-0.045801528,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429542,4.0916033,3.1374047,0.022900764,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429543,4.0076337,3.1526718,0.19847329,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429544,3.8931298,3.1221373,0.23664123,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429545,3.793893,3.0610688,0.061068702,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429546,3.8091602,3.129771,0.091603056,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429547,3.7709923,3.2137403,0.13740458,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429737,3.9007633,3.0610688,1.9312977,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429740,3.8931298,2.8244274,-0.21374045,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429742,3.8473282,2.8854961,-0.21374045,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790429744,3.9541984,3.0839694,-0.17557251,false,Normal respiration,45E24DD2-ED28-4744-81F1-7F0A255D6B11
